.rownames,Disorder id,Disorder name,Human gene symbol,Mouse model description,PhenoDigm % score,Matching human phenotypes,Matching mouse phenotypes
366,OMIM:242900,Schimke Immunoosseous Dysplasia,SMARCAL1,Smarcal1<tm1a(EUCOMM)Wtsi> hom early,32.685,"HP:0002843,HP:0001903,HP:0001876,HP:0001888,HP:0001875,HP:0001873",MP:0005564
367,OMIM:243150,Gastrointestinal Defects And Immunodeficiency Syndrome 1,TTC7A,Ttc7<em1(IMPC)J> het early,17.275,"HP:0006297,HP:0001539",MP:0010024
368,OMIM:243300,"Cholestasis, Benign Recurrent Intrahepatic, 1",ATP8B1,Atp8b1<em1(IMPC)Tcp> hom early,20.205,"HP:0002240,HP:0000365","MP:0011874,MP:0004738"
369,OMIM:243300,"Cholestasis, Benign Recurrent Intrahepatic, 1",ATP8B1,Atp8b1<em1(IMPC)Tcp> hom late,52.62,"HP:0001733,HP:0012202,HP:0006575,HP:0001046,HP:0002908,HP:0002240","MP:0001944,MP:0002941,MP:0005627,MP:0003068,MP:0005343,MP:0000598,MP:0005344,MP:0002968,MP:0000691,MP:0000186"
370,OMIM:244450,Kaufman Oculocerebrofacial Syndrome,UBE3B,Ube3b<Gt(RRJ142)Byg> hom early,47.8,"HP:0001508,HP:0003146","MP:0005179,MP:0001262,MP:0000183,MP:0000186"
371,OMIM:244450,Kaufman Oculocerebrofacial Syndrome,UBE3B,Ube3b<em1(IMPC)Bay> het early,38.73,"HP:0000543,HP:0000483,HP:0000482","MP:0011962,MP:0004222,MP:0001322,MP:0001312,MP:0003733,MP:0001303,MP:0011960,MP:0002792,MP:0001307"
372,OMIM:245349,Pyruvate Dehydrogenase E3-Binding Protein Deficiency,PDHX,Pdhx<tm1b(EUCOMM)Hmgu> het early,31.485,HP:0000648,"MP:0010097,MP:0001325,MP:0002699,MP:0001289,MP:0002792,MP:0011965"
373,OMIM:245400,Mitochondrial Dna Depletion Syndrome 9 (Encephalomyopathic Type With Methylmalonic Aciduria),SUCLG1,Suclg1<em2(IMPC)Bay> hom early,23.835,HP:0003811,MP:0011100
374,OMIM:245400,Mitochondrial Dna Depletion Syndrome 9 (Encephalomyopathic Type With Methylmalonic Aciduria),SUCLG1,Suclg1<em2(IMPC)Bay> hom embryo,21.63,HP:0003811,MP:0013293
375,OMIM:246700,Chylomicron Retention Disease,SAR1B,Sar1b<tm1a(EUCOMM)Wtsi> het early,67.89,"HP:0003563,HP:0012153,HP:0003146,HP:0002570,HP:0003073","MP:0005179,MP:0002942,MP:0005419,MP:0000183,MP:0005632,MP:0000186"
376,OMIM:248000,"Macrocephaly/Megalencephaly Syndrome, Autosomal Recessive",TBC1D7,Tbc1d7<em1(IMPC)Bay> het early,36.06,"HP:0008672,HP:0000716","MP:0003068,MP:0001417"
377,OMIM:248190,"Hypomagnesemia 5, Renal, With Or Without Ocular Involvement",CLDN19,Cldn19<tm1.1(KOMP)Vlcg> hom early,29.65,"HP:0002917,HP:0002150,HP:0004363",MP:0005633
378,OMIM:248250,"Hypomagnesemia 3, Renal",CLDN16,Cldn16<tm1a(KOMP)Wtsi> hom early,44.995,"HP:0002917,HP:0002901,HP:0002199,HP:0002150,HP:0002149,HP:0002748,HP:0002905,HP:0003259,HP:0031425,HP:0004363","MP:0010124,MP:0000194,MP:0005553,MP:0008806"
379,OMIM:248340,3Mc Syndrome 3,COLEC10,Colec10<em2(IMPC)Tcp> hom early,27.535,"HP:0000054,HP:0100258,HP:0000048,HP:0000960,HP:0030084,HP:0002974,HP:0000808,HP:0000028","MP:0001120,MP:0002764,MP:0000137"
380,OMIM:248370,Mandibuloacral Dysplasia With Type A Lipodystrophy,LMNA,Lmna<tm1b(EUCOMM)Wtsi> het early,40.38,"HP:0003074,HP:0000831,HP:0009882,HP:0000894,HP:0000842,HP:0009839,HP:0040270,HP:0000347,HP:0001870,HP:0002673,HP:0012385,HP:0200021","MP:0005292,MP:0002764"
381,OMIM:248500,"Mannosidosis, Alpha B, Lysosomal",MAN2B1,Man2b1<em1(IMPC)H> hom early,23.44,"HP:0002070,HP:0002066",MP:0001402
382,OMIM:248700,Marden-Walker Syndrome,PIEZO2,Piezo2<em2(IMPC)J> hom embryo,19.17,HP:0001511,MP:0001697
383,OMIM:249000,"Meckel Syndrome, Type 1",MKS1,Mks1<tm1a(EUCOMM)Wtsi> het early,21.845,HP:0004639,MP:0010090
384,OMIM:250400,"Metaphyseal Dysplasia, Spahr Type",MMP13,Mmp13<em1(IMPC)Ccpcz> hom early,54.92,"HP:0006409,HP:0005871,HP:0100255,HP:0004979,HP:0003016,HP:0002857,HP:0002979,HP:0006385",MP:0002764
385,OMIM:250620,3-Hydroxyisobutyryl-Coa Hydrolase Deficiency,HIBCH,Hibch<em1(IMPC)Tcp> het early,12.085,HP:0003355,MP:0002135
386,OMIM:251110,"Methylmalonic Aciduria, Cblb Type",MMAB,Mmab<em1(IMPC)Hmgu> het early,18.45,"HP:0001903,HP:0001876,HP:0001644,HP:0001875,HP:0002240,HP:0001873","MP:0010506,MP:0000689"
387,OMIM:251300,Galloway-Mowat Syndrome 1,WDR73,Wdr73<em1(IMPC)J> het early,16.32,HP:0003073,MP:0000195
388,OMIM:251450,Desbuquois Dysplasia 1,CANT1,Cant1<tm1b(EUCOMM)Hmgu> het early,26.295,HP:0001087,MP:0001303
389,OMIM:251880,Mitochondrial Dna Depletion Syndrome 3 (Hepatocerebral Type),DGUOK,Dguok<em1(IMPC)J> hom early,15.025,HP:0001508,MP:0003961
390,OMIM:251900,"Mitochondrial Myopathy, Episodic, With Or Without Optic Atrophy And Reversible Leukoencephalopathy",FDX2,Fdx2<em1(IMPC)Rbrc> hom late,36.69,"HP:0000158,HP:0003535,HP:0002919,HP:0001875,HP:0002240,HP:0001935,HP:0002913","MP:0002875,MP:0003917,MP:0002874,MP:0012362,MP:0000598,MP:0004002,MP:0004952,MP:0003271,MP:0000689,MP:0000691"
391,OMIM:252100,Orofaciodigital Syndrome Ii,NEK1,Nek1<em1(IMPC)Bay> hom early,30.945,"HP:0003015,HP:0001159,HP:0010101,HP:0003025,HP:0006136,HP:0000347,HP:0001162,HP:0001830,HP:0004209,HP:0001177,HP:0004279,HP:0001156,HP:0001841","MP:0004509,MP:0002764"
392,OMIM:252160,"Molybdenum Cofactor Deficiency, Type B",MOCS2,Mocs2<tm1b(EUCOMM)Wtsi> het early,16.33,HP:0003537,MP:0005634
393,OMIM:252160,"Molybdenum Cofactor Deficiency, Type B",MOCS2,Mocs2<tm1b(EUCOMM)Wtsi> hom early,21.05,HP:0003811,MP:0011100
394,OMIM:252500,Mucolipidosis Ii Alpha/Beta,GNPTAB,Gnptab<em1(IMPC)Mbp> het early,48.46,"HP:0000105,HP:0008155,HP:0007759,HP:0000485,HP:0001640,HP:0002240,HP:0001744","MP:0001304,MP:0002135,MP:0003068"
395,OMIM:252500,Mucolipidosis Ii Alpha/Beta,GNPTAB,Gnptab<em1(IMPC)Mbp> het late,43.885,"HP:0000105,HP:0001639,HP:0008155,HP:0001640,HP:0002240,HP:0000158,HP:0001744","MP:0002989,MP:0002135,MP:0002339,MP:0000702,MP:0002691,MP:0009552,MP:0004832,MP:0000689,MP:0000470,MP:0000274,MP:0000691,MP:0000266"
396,OMIM:252500,Mucolipidosis Ii Alpha/Beta,GNPTAB,Gnptab<em1(IMPC)Mbp> hom embryo,19.855,"HP:0002196,HP:0001537","MP:0001711,MP:0003231,MP:0004258"
397,OMIM:252600,Mucolipidosis Iii Alpha/Beta,GNPTAB,Gnptab<em1(IMPC)Mbp> het early,28.83,"HP:0000546,HP:0000484,HP:0008155,HP:0007759,HP:0002240,HP:0001744","MP:0001304,MP:0002699,MP:0002135,MP:0003068"
398,OMIM:252600,Mucolipidosis Iii Alpha/Beta,GNPTAB,Gnptab<em1(IMPC)Mbp> het late,41.295,"HP:0001638,HP:0002240,HP:0008155,HP:0001744","MP:0002989,MP:0002135,MP:0002339,MP:0000702,MP:0009552,MP:0004832,MP:0000689,MP:0000274,MP:0000691,MP:0000266"
399,OMIM:252605,Mucolipidosis Iii Gamma,GNPTG,Gnptg<em1(IMPC)Mbp> hom early,35.835,"HP:0007759,HP:0008155,HP:0003333","MP:0002989,MP:0002135,MP:0001304,MP:0002968"
400,OMIM:252900,"Mucopolysaccharidosis, Type Iiia",SGSH,Sgsh<em3(IMPC)Tcp> hom early,43.195,"HP:0000752,HP:0001537,HP:0001387,HP:0000023,HP:0000250,HP:0001744","MP:0005505,MP:0000062,MP:0001417,MP:0010123,MP:0010025"
401,OMIM:252930,"Mucopolysaccharidosis, Type Iiic",HGSNAT,Hgsnat<em4(IMPC)Tcp> hom early,33.25,"HP:0002159,HP:0000752,HP:0100790,HP:0002788,HP:0002333,HP:0002240,HP:0000250,HP:0001744","MP:0011874,MP:0001175,MP:0000702,MP:0001417,MP:0010123,MP:0010025"
402,OMIM:253250,Mulibrey Nanism,TRIM37,Trim37<em1(IMPC)Marc> hom early,38.175,"HP:0000580,HP:0000935,HP:0005132,HP:0001685,HP:0001640,HP:0006297","MP:0000280,MP:0000063,MP:0001325,MP:0010124,MP:0003795,MP:0010580,MP:0010024"
403,OMIM:253270,Holocarboxylase Synthetase Deficiency,HLCS,Hlcs<em1(IMPC)J> het early,18.63,HP:0001987,"MP:0000198,MP:0000195"
404,OMIM:253270,Holocarboxylase Synthetase Deficiency,HLCS,Hlcs<em1(IMPC)J> het late,33.57,"HP:0001254,HP:0000737,HP:0001596","MP:0002075,MP:0001417"
405,OMIM:253290,"Multiple Pterygium Syndrome, Lethal Type",CHRND,Chrnd<em1(IMPC)Mbp> het embryo,31.63,HP:0001511,MP:0003984
406,OMIM:253310,Lethal Congenital Contracture Syndrome 1,GLE1,Gle1<tm1a(EUCOMM)Wtsi> hom early,24.705,HP:0003811,MP:0011100
407,OMIM:254450,Myelofibrosis,MPL,Mpl<em1(IMPC)Ccpcz> het early,48.455,"HP:0012156,HP:0001978,HP:0005547,HP:0002240,HP:0001744","MP:0000691,MP:0000689"
408,OMIM:254450,Myelofibrosis,MPL,Mpl<em1(IMPC)Ccpcz> hom early,57.125,"HP:0012156,HP:0001978,HP:0011974,HP:0005547,HP:0002240,HP:0001744","MP:0002397,MP:0000703,MP:0000709,MP:0000689"
409,OMIM:254800,Myoclonic Epilepsy Of Unverricht And Lundborg,CSTB,Cstb<tm1b(EUCOMM)Wtsi> hom early,36.1,"HP:0011182,HP:0002392,HP:0001251,HP:0010850","MP:0002574,MP:0004738"
410,OMIM:254900,"Epilepsy, Progressive Myoclonic, 4, With Or Without Renal Failure",SCARB2,Scarb2<em2(IMPC)Tcp> hom early,41.475,"HP:0000093,HP:0000100,HP:0000112,HP:0000083,HP:0001895,HP:0100820,HP:0000097,HP:0003073,HP:0001873","MP:0002591,MP:0003068,MP:0005505,MP:0000218,MP:0005013,MP:0000223,MP:0000219,MP:0005565"
411,OMIM:255700,"Myotonia Congenita, Autosomal Recessive",CLCN1,Clcn1<em1(IMPC)Mbp> hom early,20.125,HP:0002015,MP:0020870
412,OMIM:256050,"Atelosteogenesis, Type Ii",SLC26A2,Slc26a2<em1(IMPC)Bay> hom early,24.995,HP:0003826,MP:0011100
413,OMIM:256050,"Atelosteogenesis, Type Ii",SLC26A2,Slc26a2<em1(IMPC)Bay> hom embryo,29.315,"HP:0003864,HP:0001234,HP:0001762,HP:0005819,HP:0006375,HP:0001852,HP:0002983,HP:0009826,HP:0000175","MP:0002109,MP:0009908"
414,OMIM:256450,"Hyperinsulinemic Hypoglycemia, Familial, 1",ABCC8,Abcc8<em1(IMPC)J> hom early,43.305,"HP:0001520,HP:0000825,HP:0002173","MP:0003960,MP:0005293"
415,OMIM:256500,Netherton Syndrome,SPINK5,Spink5<em1(IMPC)J> het early,17.89,"HP:0045075,HP:0004779,HP:0002209,HP:0002299",MP:0001284
416,OMIM:256520,Neu-Laxova Syndrome 1,PHGDH,Phgdh<tm1b(KOMP)Wtsi> het early,25.925,"HP:0001059,HP:0000518","MP:0001312,MP:0001314"
417,OMIM:256520,Neu-Laxova Syndrome 1,PHGDH,Phgdh<tm1b(KOMP)Wtsi> hom early,20,"HP:0003811,HP:0003826",MP:0011100
418,OMIM:256520,Neu-Laxova Syndrome 1,PHGDH,Phgdh<tm1b(KOMP)Wtsi> hom embryo,44.185,"HP:0002324,HP:0011451,HP:0001321,HP:0001305,HP:0001643,HP:0001196,HP:0001561,HP:0000568,HP:0003811,HP:0003826,HP:0002414,HP:0006266,HP:0001511,HP:0007430","MP:0001718,MP:0003984,MP:0001700,MP:0011496,MP:0001297,MP:0001672,MP:0000841,MP:0001697,MP:0001785,MP:0002080,MP:0003229"
419,OMIM:256540,Galactosialidosis,CTSA,Ctsa<tm2b(EUCOMM)Hmgu> hom early,36.94,"HP:0000524,HP:0001433,HP:0003271","MP:0002590,MP:0002875,MP:0005287,MP:0000220,MP:0003179,MP:0002874,MP:0004952,MP:0005561,MP:0002833,MP:0005333,MP:0000208,MP:0010506,MP:0000691"
420,OMIM:256700,"Neuroblastoma, Susceptibility To, 1",KIF1B,Kif1b<tm1b(KOMP)Wtsi> het early,31.61,"HP:0001903,HP:0001251","MP:0002574,MP:0005641"
421,OMIM:256700,"Neuroblastoma, Susceptibility To, 1",KIF1B,Kif1b<tm1b(KOMP)Wtsi> hom embryo,20.295,HP:0000822,MP:0001914
422,OMIM:256810,Mitochondrial Dna Depletion Syndrome 6 (Hepatocerebral Type),MPV17,Mpv17<em1(IMPC)J> hom early,35.69,"HP:0001988,HP:0012202,HP:0003231,HP:0003281,HP:0001744,HP:0003542,HP:0005978,HP:0006254,HP:0002908,HP:0001987,HP:0002904,HP:0003073,HP:0002240,HP:0001943","MP:0003179,MP:0005562,MP:0002833,MP:0005560,MP:0005565"
423,OMIM:257220,"Niemann-Pick Disease, Type C1",NPC1,Npc1<tm1a(EUCOMM)Hmgu> het early,36.605,"HP:0001332,HP:0001982,HP:0004333,HP:0001744","MP:0000220,MP:0001488"
424,OMIM:257220,"Niemann-Pick Disease, Type C1",NPC1,Npc1<tm1b(EUCOMM)Hmgu> het early,25.385,HP:0000726,MP:0001417
425,OMIM:257270,"Night Blindness, Congenital Stationary, Type 1B",GRM6,Grm6<tm1b(EUCOMM)Wtsi> hom early,20.295,"HP:0007642,HP:0007737",MP:0006243
426,OMIM:257850,"Oculodentodigital Dysplasia, Autosomal Recessive",GJA1,Gja1<em1(IMPC)Ccpcz> hom embryo,40.93,"HP:0002007,HP:0000248",MP:0011495
427,OMIM:257920,3Mc Syndrome 1,MASP1,Masp1<tm1.1(KOMP)Vlcg> hom early,22.605,"HP:0000593,HP:0000524","MP:0005333,MP:0010506,MP:0001319"
428,OMIM:257980,Odontoonychodermal Dysplasia,WNT10A,Wnt10a<tm1.1(KOMP)Vlcg> hom early,37.54,"HP:0007410,HP:0002209,HP:0007556,HP:0045075,HP:0000972,HP:0001798,HP:0011359,HP:0001816,HP:0001799,HP:0002231,HP:0002164,HP:0001807,HP:0002213,HP:0008391,HP:0001810","MP:0002075,MP:0000367,MP:0002764"
429,OMIM:258150,Spermatogenic Failure 1,SYCP2,Sycp2<tm1b(EUCOMM)Hmgu> hom early,36.965,"HP:0030974,HP:0000798,HP:0003251",MP:0001147
430,OMIM:258860,Orofaciodigital Syndrome Iv,TCTN3,Tctn3<em1(IMPC)J> hom embryo,50.87,"HP:0100259,HP:0001829,HP:0005736,HP:0001161,HP:0009381,HP:0030084,HP:0001770,HP:0001156",MP:0000562
431,OMIM:259420,"Osteogenesis Imperfecta, Type Iii",COL1A2,Col1a2<tm1b(EUCOMM)Wtsi> hom early,47.22,"HP:0002982,HP:6000871,HP:0005474,HP:0005855,HP:0003100,HP:0002757,HP:0003179,HP:0005897,HP:0000703,HP:0003023","MP:0000559,MP:0000062,MP:0010123,MP:0010025,MP:0000558"
432,OMIM:259450,Bruck Syndrome 1,FKBP10,Fkbp10<tm2a(EUCOMM)Wtsi> het early,37.08,"HP:0006380,HP:0000939,HP:0006466,HP:0002987,HP:0003273,HP:0001382,HP:0002659",MP:0002896
433,OMIM:259500,Osteogenic Sarcoma,TP53,Trp53<tm1b(EUCOMM)Hmgu> hom early,27.36,HP:0009919,"MP:0001289,MP:0001325"
434,OMIM:259600,"Multicentric Osteolysis, Nodulosis, And Arthropathy",MMP2,Mmp2<em1(IMPC)Mbp> hom early,34.685,"HP:0002753,HP:0006234,HP:0000938,HP:0008011,HP:0001495,HP:0000939,HP:0007957,HP:0001473,HP:0001504","MP:0001304,MP:0003795"
435,OMIM:259600,"Multicentric Osteolysis, Nodulosis, And Arthropathy",MMP2,Mmp2<em1(IMPC)Mbp> hom late,30.29,"HP:0002753,HP:0006234,HP:0000938,HP:0000939,HP:0001495,HP:0001473,HP:0001504",MP:0010124
436,OMIM:259700,"Osteopetrosis, Autosomal Recessive 1",TCIRG1,Tcirg1<em1(IMPC)Ccpcz> het early,23.49,"HP:0000648,HP:0002240,HP:0001744","MP:0002792,MP:0003917,MP:0000274"
437,OMIM:259775,Raine Syndrome,FAM20C,Fam20c<tm1b(KOMP)Wtsi> het early,18.71,"HP:0000072,HP:0000126",MP:0002135
438,OMIM:259775,Raine Syndrome,FAM20C,Fam20c<tm1b(KOMP)Wtsi> hom early,21.265,HP:0003811,"MP:0011110,MP:0011100"
439,OMIM:260350,Pancreatic Cancer,ACVR1B,Acvr1b<tm1.1(KOMP)Vlcg> het early,19.39,HP:0002894,"MP:0001147,MP:0002768"
440,OMIM:260370,Pancreatic Agenesis 1,PDX1,Pdx1<tm1b(EUCOMM)Wtsi> het early,33.25,HP:0000857,MP:0005293
441,OMIM:260500,Papilloma Of Choroid Plexus,TP53,Trp53<tm1b(EUCOMM)Hmgu> hom early,28.26,HP:0001085,"MP:0001289,MP:0001325"
442,OMIM:260540,Parkinson-Dementia Syndrome,MAPT,Mapt<tm1b(EUCOMM)Hmgu> hom early,28.515,HP:0000726,MP:0001417
443,OMIM:261000,Intrinsic Factor Deficiency,CBLIF,Cblif<tm1a(KOMP)Wtsi> hom early,62.235,"HP:0031965,HP:0005518,HP:0001889,HP:0020181,HP:0200143","MP:0000194,MP:0008821,MP:0002591"
444,OMIM:261100,Imerslund-Grasbeck Syndrome 1,CUBN,Cubn<tm1b(EUCOMM)Hmgu> het early,33.54,HP:0001889,MP:0005642
445,OMIM:261500,Eosinophil Peroxidase Deficiency,EPX,Epx<tm1b(EUCOMM)Wtsi> hom early,33.41,HP:0034253,MP:0000220
446,OMIM:261515,D-Bifunctional Protein Deficiency,HSD17B4,Hsd17b4<em1(IMPC)Tcp> het late,20.7,"HP:0033643,HP:0000107,HP:0002240,HP:0001408,HP:0001744","MP:0005632,MP:0011874,MP:0002059,MP:0000274"
447,OMIM:261515,D-Bifunctional Protein Deficiency,HSD17B4,Hsd17b4<em1(IMPC)Tcp> hom early,35.105,"HP:0000762,HP:0000218,HP:0001397,HP:0001171,HP:0000343,HP:0001765,HP:0000278,HP:0000347,HP:0001396,HP:0000369,HP:0000365,HP:0002240,HP:0001408,HP:0008207,HP:0001744","MP:0000157,MP:0000642,MP:0002100,MP:0000689,MP:0004738"
448,OMIM:261600,Phenylketonuria,PAH,Pah<em1(IMPC)Tcp> het early,38.805,"HP:0000718,HP:0000752,HP:0007018,HP:0000737,HP:0000716",MP:0001417
449,OMIM:261600,Phenylketonuria,PAH,Pah<em1(IMPC)Tcp> hom early,47.6,"HP:0000635,HP:0000518,HP:0002286,HP:0007513","MP:0001312,MP:0002075"
450,OMIM:261750,Glycogen Storage Disease Ixb,PHKB,Phkb<em1(IMPC)J> hom late,24.485,HP:0002149,"MP:0002941,MP:0002968,MP:0005343"
451,OMIM:263210,Gillessen-Kaesbach-Nishimura Syndrome,ALG9,Alg9<em1(IMPC)J> het early,19.7,"HP:0000776,HP:0001371,HP:0001539",MP:0010024
452,OMIM:263210,Gillessen-Kaesbach-Nishimura Syndrome,ALG9,Alg9<em1(IMPC)J> het late,29.095,HP:0032313,MP:0002075
453,OMIM:263520,Short-Rib Thoracic Dysplasia 6 With Or Without Polydactyly,NEK1,Nek1<em1(IMPC)Bay> hom early,51.085,"HP:0000773,HP:0000556,HP:0003026,HP:0005766,HP:0005180,HP:0005873,HP:0005817,HP:0001177,HP:0003027,HP:0001156,HP:0001162","MP:0002764,MP:0011952,MP:0003731,MP:0004509,MP:0011965"
454,OMIM:263700,"Porphyria, Congenital Erythropoietic",UROS,Uros<tm1a(EUCOMM)Wtsi> het early,18.925,"HP:0001744,HP:0001873,HP:6000514,HP:0001878",MP:0000218
455,OMIM:264090,Wiedemann-Rautenstrauch Syndrome,POLR3A,Polr3a<em2(IMPC)Tcp> het early,22.28,"HP:0000047,HP:0000778,HP:0000040","MP:0011874,MP:0002599,MP:0000702"
456,OMIM:264470,Peroxisomal Acyl-Coa Oxidase Deficiency,ACOX1,Acox1<em1(IMPC)Bay> hom early,40.515,"HP:0006555,HP:0002015,HP:0000737,HP:0002910,HP:0002240","MP:0000598,MP:0020870"
457,OMIM:264600,Pseudovaginal Perineoscrotal Hypospadias,SRD5A2,Srd5a2<em1(IMPC)Mbp> hom early,53.615,"HP:0000054,HP:0000033,HP:0000818,HP:0000048,HP:0000051,HP:0000028","MP:0001147,MP:0001146"
458,OMIM:264700,"Vitamin D Hydroxylation-Deficient Rickets, Type 1A",CYP27B1,Cyp27b1<tm1b(EUCOMM)Hmgu> hom early,68.415,"HP:0002753,HP:0000886,HP:0003127,HP:0000737,HP:0004492,HP:0002748,HP:0001288,HP:0002199,HP:0003029,HP:0002752,HP:0011422,HP:0003106,HP:0000897,HP:0002148,HP:0002901,HP:0010502,HP:0000920,HP:0002663,HP:0000893,HP:0002979,HP:0002982,HP:0003758,HP:0003013,HP:0003020,HP:0003021,HP:0002980,HP:0002757,HP:0006297,HP:0003025","MP:0002764,MP:0000559,MP:0005296,MP:0004509,MP:0005108,MP:0000149,MP:0002932,MP:0001402,MP:0000198,MP:0005298,MP:0001417,MP:0003795,MP:0010025,MP:0000558,MP:0000063,MP:0000195,MP:0010124,MP:0005344,MP:0002968,MP:0000552,MP:0000150,MP:0002187,MP:0005343"
459,OMIM:265400,"Pulmonary Hypertension, Primary, 5",ATP13A3,Atp13a3<em1(IMPC)J> hom early,24.67,HP:0001667,MP:0002833
460,OMIM:265800,Pycnodysostosis,CTSK,Ctsk<tm1b(EUCOMM)Hmgu> hom early,48.7,"HP:0011001,HP:0009839,HP:0000347,HP:0002868,HP:0002688,HP:0001156,HP:0006660","MP:0002764,MP:0000062"
461,OMIM:266120,"Anemia, Congenital, Nonspherocytic Hemolytic, 8",NT5C3A,Nt5c3<em1(IMPC)Tcp> hom early,34.845,"HP:0001923,HP:0001878","MP:0002590,MP:0010067"
462,OMIM:266280,Rapadilino Syndrome,RECQL4,Recql4<tm1.1(KOMP)Vlcg> het early,19.015,"HP:0000653,HP:0045075,HP:0002209",MP:0000367
463,OMIM:267000,Perlman Syndrome,DIS3L2,Dis3l2<em1(IMPC)Bay> het early,21.325,HP:0001520,MP:0001257
464,OMIM:267750,Knobloch Syndrome 1,COL18A1,Col18a1<tm1.1(KOMP)Vlcg> hom early,55.475,"HP:0000519,HP:0001104,HP:0007773,HP:0007843,HP:0000541,HP:0000533,HP:0000543,HP:0100019,HP:0012805,HP:0500087,HP:0009917,HP:0001251,HP:0001132,HP:0000585","MP:0005102,MP:0010097,MP:0001319,MP:0002574,MP:0001325,MP:0001303,MP:0008259,MP:0002792,MP:0006241"
465,OMIM:268150,"Rh-Null, Regulator Type",RHAG,Rhag<em1(IMPC)Ccpcz> hom early,38.61,"HP:0001878,HP:0008282,HP:0004446","MP:0000709,MP:0000703,MP:0005568,MP:0005562,MP:0005178"
466,OMIM:268310,"Robinow Syndrome, Autosomal Recessive 1",ROR2,Ror2<em1(IMPC)Mbp> hom embryo,42.45,"HP:0009882,HP:0002714,HP:0005648,HP:0000696,HP:0001156,HP:0011927,HP:0200055,HP:0001537,HP:0004220,HP:0006216,HP:0001837,HP:0003083,HP:0009883,HP:0011304,HP:0000158,HP:0010297,HP:0000219,HP:0005011,HP:0001159,HP:0009804,HP:0010055,HP:0010804,HP:0000202,HP:0000171,HP:0009177,HP:0012385,HP:0004279,HP:0000954,HP:0004322,HP:0000207,HP:0005914,HP:0010292,HP:0002986,HP:0006394,HP:0002827,HP:0000154,HP:0000678,HP:0000212,HP:0000189,HP:0000343,HP:0000322,HP:0030084,HP:0001853,HP:0009466,HP:0003027,HP:0002984","MP:0002109,MP:0003231,MP:0003984,MP:0000562,MP:0001711,MP:0000111"
467,OMIM:268400,"Rothmund-Thomson Syndrome, Type 2",RECQL4,Recql4<tm1.1(KOMP)Vlcg> het early,19.73,"HP:0002209,HP:0000561,HP:0045075,HP:0001596,HP:0002223,HP:0002216,HP:0008404,HP:0008070,HP:0000653",MP:0000367
468,OMIM:268800,Sandhoff Disease,HEXB,Hexb<tm1b(EUCOMM)Hmgu> hom early,35.44,"HP:0002380,HP:0002493,HP:0001433,HP:0002267,HP:0001257,HP:0007272,HP:0001251","MP:0000745,MP:0001406,MP:0000220,MP:0005505,MP:0001417,MP:0001392"
469,OMIM:269250,Schneckenbecken Dysplasia,SLC35D1,Slc35d1<tm2b(EUCOMM)Hmgu> hom early,23.11,HP:0003826,MP:0011100
470,OMIM:269250,Schneckenbecken Dysplasia,SLC35D1,Slc35d1<tm2b(EUCOMM)Hmgu> hom embryo,45.71,"HP:0008108,HP:0001537,HP:0001561,HP:0000947,HP:0001776,HP:0004233,HP:0009826,HP:0001790,HP:0000175,HP:0003025,HP:0001156","MP:0002109,MP:0009908,MP:0001697,MP:0001785,MP:0000111"
471,OMIM:269400,Anterior Segment Dysgenesis 7,PXDN,Pxdn<em1(IMPC)J> hom early,60.42,"HP:0000647,HP:0000568,HP:0000612,HP:0000518,HP:0011483,HP:0000557,HP:0007957,HP:0000482,HP:0007700","MP:0001314,MP:0001293"
472,OMIM:269700,"Lipodystrophy, Congenital Generalized, Type 2",BSCL2,Bscl2<tm1b(EUCOMM)Hmgu> hom early,55.23,"HP:0003809,HP:0040217,HP:0025128,HP:0001537,HP:0003758,HP:0000842,HP:0002591,HP:0002833,HP:0000877,HP:0002155,HP:0009125,HP:0005978,HP:0001176,HP:0001833,HP:0001744","MP:0002965,MP:0002764,MP:0005568,MP:0001566,MP:0011941,MP:0011939,MP:0002590,MP:0002941,MP:0005561,MP:0005178,MP:0001556,MP:0002875,MP:0003795,MP:0010025,MP:0000219,MP:0005292,MP:0000194,MP:0000220,MP:0012362,MP:0005559,MP:0010124,MP:0002968,MP:0013279,MP:0005343"
473,OMIM:270100,"Heterotaxy, Visceral, 5, Autosomal",NODAL,Nodal<tm1b(EUCOMM)Wtsi> het early,13.915,HP:0011699,MP:0005542
474,OMIM:270300,Peeling Skin Syndrome 1,CDSN,Cdsn<tm1b(EUCOMM)Hmgu> het early,17.275,HP:0001880,"MP:0005641,MP:0005561"
475,OMIM:270400,Smith-Lemli-Opitz Syndrome,DHCR7,Dhcr7<em1(IMPC)Mbp> het early,37.925,"HP:0000054,HP:0001394,HP:0000047,HP:0000126,HP:0000089,HP:0001397,HP:0002611,HP:0000107,HP:0000122,HP:0000808,HP:0000074,HP:0002240,HP:0001744","MP:0002989,MP:0002135,MP:0000691,MP:0000689"
476,OMIM:270400,Smith-Lemli-Opitz Syndrome,DHCR7,Dhcr7<em1(IMPC)Mbp> hom embryo,28.015,"HP:0004322,HP:0001511,HP:0001510",MP:0003984
477,OMIM:270550,"Spastic Ataxia, Charlevoix-Saguenay Type",SACS,Sacs<em1(IMPC)Tcp> het early,13.685,HP:0000012,MP:0002135
